;FieldName;Type;Length;Nullable;
;SubscriberKey;Text;4000;No;
;JobID;Text;50;No;
;BatchID;Text;50;No;
;Email;EmailAddress;254;Yes;
;Mobile;Mobile ;50;Yes;
;CommunicationType;Text;50;Yes;
;MessageName;Text;250;Yes;
;MessageStatus;Text;50;Yes;
;AffectedCustomerId;Text;50;Yes;
;IncidentId;Text;50;Yes;
;NMI;Text;50;Yes;
;MarketIdentifier;Text;50;Yes;
;LifeSupportCustomer;Boolean;;Yes;
;SentDate;Date;;Yes;
;ModifiedDate;Date;;Yes;
;JourneyName;Text;250;Yes;
;JourneyVersion;Text;50;Yes;
;TriggeredSendID;Text;50;Yes;
;IncidentType;Text;50;Yes;
;MessageText;Text;4000;Yes;
;CommunicationCategory;Text;50;Yes;
;smsUndeliveredStatus;Text;150;Yes;
;smsUndeliveredReason;Text;250;Yes;
;MailingStreet;Text;255;Yes;
;ApplicationId;Text;50;Yes;
;MailingCity;Text;100;Yes;
;MailingState;Text;100;Yes;
;MailingPostcode;Text;20;Yes;
;Addressee;Text;500;Yes;
;RpTrackingNumber;Text;50;Yes;
;MailingAddress;Text;500;Yes;
;CaseId;Text;50;Yes;
;ProjectId;Text;50;Yes;
;view_email_url;Text;300;Yes;
